Year,Name,Position,School,Stats,Unaminous ,,ID
2023,Malik Nabers*,WR,LSU,89 Rec 1569 Yds 17.6 Avg 14 TD,Yes,,malik-nabers-1
2023,Rome Odunze*,WR,Washington,92 Rec 1640 Yds 17.8 Avg 13 TD,No,,rome-odunze-1
2023,Brock Bowers*,TE,Georgia,56 Rec 714 Yds 12.8 Avg 6 TD,Yes,,brock-bowers-1
2023,Joe Alt*,OL,Notre Dame,,Yes,,joe-alt-1
2023,Cooper Beebe*,OL,Kansas State,,Yes,,cooper-beebe-1
2023,Olu Fashanu*,OL,Penn State,,No,,olu-fashanu-1
2023,Jackson Powers-Johnson*,OL,Oregon,,Yes,,jackson-powers-johnson-1
2023,Zak Zinter*,OL,Michigan,,Yes,,zak-zinter-1
2023,Graham Nicholson*,K,Miami (OH),35 XPM 37 XPA 27 FGM 28 FGA 116 Pts,No,,graham-nicholson-1
2023,Travis Hunter,AP,Colorado,57 Rec 721 Yds 12.6 Avg 5 TD,No,,travis-hunter-2
2023,Jonah Elliss*,DL,Utah,23 Solo 14 Ast 12.0 Sk 0 Int,No,,jonah-elliss-1
2023,Laiatu Latu*,DL,UCLA,28 Solo 21 Ast 13.0 Sk 2 Int,Yes,,laiatu-latu-1
2023,Jer'Zhan Newton,DL,Illinois,26 Solo 26 Ast 7.5 Sk 0 Int,No,,jerzhan-newton-1
2023,T'vondre Sweat*,DL,Texas,18 Solo 27 Ast 2.0 Sk 0 Int,Yes,,tvondre-sweat-1
2023,Edgerrin Cooper*,LB,Texas A&M,39 Solo 45 Ast 8.0 Sk 0 Int,No,,edgerrin-cooper-1
2023,Dallas Turner*,LB,Alabama,28 Solo 25 Ast 10.0 Sk 0 Int,No,,dallas-turner-1
2023,Payton Wilson*,LB,North Carolina State,69 Solo 69 Ast 6.0 Sk 3 Int,Yes,,payton-wilson-1
2023,Cooper DeJean*,DB,Iowa,26 Solo 15 Ast 0.0 Sk 2 Int,Yes,,cooper-dejean-1
2023,Malaki Starks*,DB,Georgia,31 Solo 21 Ast 0.0 Sk 3 Int,No,,malaki-starks-1
2023,Xavier Watts*,DB,Notre Dame,30 Solo 22 Ast 0.5 Sk 7 Int,Yes,,xavier-watts-1
2023,Tory Taylor*,P,Iowa,93 Punts 4479 Yds 48.2 Avg,Yes,,tory-taylor-1
2024,Seth McLaughlin*,C,Ohio State,,No,,seth-mclaughlin-1
2024,Cameron Ward*,QB,Miami (FL),305 Cmp 454 Att 4313 Yds 39 TD 7 Int,No,,cameron-ward-1
2024,Ashton Jeanty*,RB,Boise State,374 Att 2601 Yds 7.0 Avg 29 TD,Yes,,ashton-jeanty-1
2024,Kaleb Johnson*,RB,Iowa,240 Att 1537 Yds 6.4 Avg 21 TD,No,,kaleb-johnson-2
2024,Tetairoa McMillan,WR,Arizona,84 Rec 1319 Yds 15.7 Avg 8 TD,No,,tetairoa-mcmillan-1
2024,Nick Nash*,WR,San Jose State,104 Rec 1382 Yds 13.3 Avg 16 TD,Yes,,nick-nash-1
2024,Xavier Restrepo*,WR,Miami (FL),69 Rec 1127 Yds 16.3 Avg 11 TD,No,,xavier-restrepo-1
2024,Harold Fannin Jr.*,TE,Bowling Green,117 Rec 1555 Yds 13.3 Avg 10 TD,No,,harold-fannin-jr-1
2024,Kelvin Banks Jr.*,OL,Texas,,Yes,,kelvin-banks-jr-1
2024,Will Campbell*,OL,LSU,,No,,will-campbell-1
2024,Wyatt Milum*,OL,West Virginia,,No,,wyatt-milum-1
2024,Addison West*,OL,Western Michigan,,No,,addison-west-1
2024,Kenneth Almendares*,K,Louisiana,46 XPM 47 XPA 28 FGM 31 FGA 130 Pts,No,,kenneth-almendares-1
2024,Travis Hunter*,AP,Colorado,96 Rec 1258 Yds 13.1 Avg 15 TD,Yes,,travis-hunter-2
2024,Abdul Carter*,DL,Penn State,43 Solo 25 Ast 12.0 Sk 0 Int,Yes,,abdul-carter-1
2024,Donovan Ezeiruaku*,DL,Boston College,37 Solo 43 Ast 16.5 Sk 0 Int,No,,donovan-ezeiruaku-1
2024,Mason Graham*,DL,Michigan,23 Solo 22 Ast 3.5 Sk 0 Int,Yes,,mason-graham-2
2024,Kyle Kennard*,DL,South Carolina,20 Solo 8 Ast 11.5 Sk 0 Int,No,,kyle-kennard-1
2024,Walter Nolen*,DL,Ole Miss,25 Solo 23 Ast 6.5 Sk 0 Int,No,,walter-nolen-1
2024,Shaun Dolac*,LB,Buffalo,82 Solo 86 Ast 6.5 Sk 5 Int,No,,shaun-dolac-1
2024,Jay Higgins*,LB,Iowa,53 Solo 71 Ast 1.0 Sk 4 Int,Yes,,jay-higgins-1
2024,Danny Stutsman*,LB,Oklahoma,44 Solo 65 Ast 1.0 Sk 0 Int,No,,danny-stutsman-1
2024,Jahdae Barron*,DB,Texas,46 Solo 21 Ast 1.0 Sk 5 Int,No,,jahdae-barron-1
