Year,Name,Position,School,Stats,Unaminous,ID
2013,Aaron Donald*,DL,Pitt,43 Solo 16 Ast 11.0 Sk 0 Int,Yes,aaron-donald-1
2013,Jackson Jeffcoat*,DL,Texas,46 Solo 34 Ast 13.0 Sk 1 Int,No,jackson-jeffcoat-1
2013,Michael Sam*,DL,Missouri,30 Solo 17 Ast 10.0 Sk 0 Int,Yes,michael-sam-1
2013,Anthony Barr*,LB,UCLA,43 Solo 23 Ast 10.0 Sk 0 Int,No,anthony-barr-1
2013,C.J. Mosley*,LB,Alabama,62 Solo 44 Ast 0.0 Sk 0 Int,Yes,cj-mosley-1
2013,Trent Murphy*,LB,Stanford,37 Solo 25 Ast 15.0 Sk 1 Int,No,trent-murphy-1
2013,Ha Ha Clinton-Dix*,DB,Alabama,30 Solo 20 Ast 0.0 Sk 2 Int,No,ha-ha-clinton-dix-1
2013,Darqueze Dennard*,DB,Michigan State,32 Solo 28 Ast 0.0 Sk 4 Int,Yes,darqueze-dennard-1
2013,Justin Gilbert*,DB,Oklahoma State,36 Solo 6 Ast 0.0 Sk 7 Int,No,justin-gilbert-1
2013,Lamarcus Joyner*,DB,Florida State,45 Solo 24 Ast 5.5 Sk 2 Int,Yes,lamarcus-joyner-1
2013,Tom Hornsey,P,Memphis,62 Punts 2800 Yds 45.2 Avg,No,tom-hornsey-1
2014,Marcus Mariota*,QB,Oregon,304 Cmp 445 Att 4454 Yds 42 TD 4 Int,Yes,marcus-mariota-1
2014,Tevin Coleman,RB,Indiana,270 Att 2036 Yds 7.5 Avg 15 TD,Yes,tevin-coleman-1
2014,Melvin Gordon*,RB,Wisconsin,343 Att 2587 Yds 7.5 Avg 29 TD,Yes,melvin-gordon-1
2014,Amari Cooper*,WR,Alabama,124 Rec 1727 Yds 13.9 Avg 16 TD,Yes,amari-cooper-1
2014,Rashard Higgins*,WR,Colorado State,96 Rec 1750 Yds 18.2 Avg 17 TD,No,rashard-higgins-1
2014,Nick O'Leary*,TE,Florida State,48 Rec 618 Yds 12.9 Avg 6 TD,No,nick-oleary-1
2014,Reese Dismukes*,OL,Auburn,,No,reese-dismukes-1
2014,Spencer Drango*,OL,Baylor,,No,spencer-drango-1
2014,Tre' Jackson*,OL,Florida State,,Yes,tre-jackson-1
2014,Brandon Scherff*,OL,Iowa,,Yes,brandon-scherff-1
2014,Laken Tomlinson*,OL,Duke,,No,laken-tomlinson-1
2014,Roberto Aguayo*,K,Florida State,55 XPM 55 XPA 27 FGM 30 FGA 136 Pts,No,roberto-aguayo-1
2014,Tyler Lockett*,AP,Kansas State,106 Rec 1515 Yds 14.3 Avg 11 TD,No,tyler-lockett-1
2014,Vic Beasley*,DL,Clemson,28 Solo 6 Ast 12.0 Sk 0 Int,No,vic-beasley-1
2014,Joey Bosa*,DL,Ohio State,39 Solo 16 Ast 13.5 Sk 0 Int,Yes,joey-bosa-1
2014,Malcom Brown*,DL,Texas,39 Solo 32 Ast 6.5 Sk 0 Int,No,malcom-brown-1
2014,Shane Ray*,DL,Missouri,47 Solo 18 Ast 14.5 Sk 0 Int,No,shane-ray-1
2014,Paul Dawson*,LB,TCU,81 Solo 55 Ast 6.0 Sk 4 Int,No,paul-dawson-1
2014,Hau'oli Kikaha*,LB,Washington,53 Solo 19 Ast 19.0 Sk 0 Int,Yes,hauoli-kikaha-2
2014,Scooby Wright*,LB,Arizona,99 Solo 64 Ast 14.0 Sk 0 Int,Yes,scooby-wright-1
2014,Landon Collins*,DB,Alabama,60 Solo 43 Ast 0.0 Sk 3 Int,Yes,landon-collins-1
2014,Ifo Ekpre-Olomu*,DB,Oregon,43 Solo 20 Ast 0.0 Sk 2 Int,No,ifo-ekpre-olomu-1
2014,Senquez Golson*,DB,Ole Miss,33 Solo 10 Ast 0.5 Sk 10 Int,Yes,senquez-golson-1
2014,Gerod Holliman*,DB,Louisville,34 Solo 10 Ast 1.0 Sk 14 Int,Yes,gerod-holliman-1
2014,Tom Hackett*,P,Utah,80 Punts 3736 Yds 46.7 Avg,No,tom-hackett-1
2015,Deshaun Watson*,QB,Clemson,333 Cmp 491 Att 4104 Yds 35 TD 13 Int,No,deshaun-watson-1
2015,Leonard Fournette*,RB,LSU,300 Att 1953 Yds 6.5 Avg 22 TD,No,leonard-fournette-1
2015,Derrick Henry*,RB,Alabama,395 Att 2219 Yds 5.6 Avg 28 TD,Yes,derrick-henry-2
2015,Corey Coleman*,WR,Baylor,74 Rec 1363 Yds 18.4 Avg 20 TD,Yes,corey-coleman-1
2015,Josh Doctson*,WR,TCU,79 Rec 1327 Yds 16.8 Avg 14 TD,Yes,josh-doctson-1
2015,Hunter Henry*,TE,Arkansas,51 Rec 739 Yds 14.5 Avg 3 TD,Yes,hunter-henry-1
2015,Taylor Decker*,OL,Ohio State,,No,taylor-decker-1
2015,Spencer Drango*,OL,Baylor,,Yes,spencer-drango-1
